Year,Avg_price,Min_price,Max_price,Avg_volume,Min_volume,Max_volume
1980,0.1359889223598517,0.11272300034761429,0.16127200424671173,103450092.3076923,35750400,469033600
1981,0.10871544425843262,0.06361600011587143,0.15513400733470917,32398988.14229249,0,231302400
1982,0.08545226236370948,0.04910700023174286,0.155691996216774,84446671.93675889,13596800,357078400
1983,0.1672740158562368,0.07700899988412857,0.282366007566452,175940755.73122528,1388800,2832345600
1984,0.11980344097428171,0.0976559966802597,0.15345999598503113,165925033.99209487,27686400,626796800
1985,0.09064537286758423,0.06473200023174286,0.13895100355148315,180524888.8888889,21504000,733980800
1986,0.14474962856399684,0.09709800034761429,0.1958709955215454,210763724.90118578,50176000,904131200
1987,0.3477841891318913,0.1791290044784546,0.533482015132904,236250232.4110672,56638400,777280000
1988,0.3709592259684099,0.3169640004634857,0.4263390004634857,163213350.19762847,29937600,680960000
1989,0.3717580897112687,0.2901790142059326,0.4497770071029663,202007244.44444445,27854400,2127171200
1990,0.3351059945027819,0.21651799976825714,0.4263390004634857,175501742.29249012,44273600,933732800
1991,0.4685095767729838,0.359375,0.654017984867096,226670558.1027668,17987200,1868372800
1992,0.489313866679124,0.3705359995365143,0.625,161960289.76377952,2396800,848355200
1993,0.36647285874417646,0.19642899930477142,0.5825889706611633,223134102.7667984,39592000,2120596800
1994,0.30416544438118026,0.21986599266529083,0.390625,226809111.1111111,62272000,980134400
1995,0.3623357447721655,0.282366007566452,0.44754499197006226,294708488.8888889,39390400,1211963200
1996,0.22306793975079153,0.14285700023174286,0.3169640004634857,209426066.14173228,42291200,1026625600
1997,0.1607115796284949,0.11383900046348572,0.26395100355148315,284440158.1027668,41316800,4190480000
1998,0.27266521620312856,0.12053599953651428,0.390625,457119822.2222222,111115200,2561350400
1999,0.5153114094384132,0.2857140004634857,1.0535709857940674,544058355.5555556,123681600,3357558400
2000,0.8169878228375363,0.24330399930477142,1.3426339626312256,477387288.8888889,70828800,7421640800
2001,0.3605778050879317,0.2578130066394806,0.48428601026535034,381684664.516129,50629600,1873670400
2002,0.34167412230892785,0.23857100307941437,0.4673210084438324,305610822.2222222,39340000,1709467200
2003,0.3309512982470176,0.22714300453662872,0.44660699367523193,282659733.3333333,76098400,1555708000
2004,0.6334679726333845,0.3782140016555786,1.2423210144042969,483339955.5555556,141635200,2768427200
2005,1.6661869218898198,1.1178569793701172,2.694999933242798,723813422.2222222,176383200,3164716800
2006,2.5321115366966125,1.791429042816162,3.3271429538726807,859358430.2788844,194770800,2663768800
2007,4.5832676460068535,2.924999952316284,7.248570919036865,984047751.3944223,352466800,3349298400
2008,5.076656554998617,2.8264288902282715,7.1521430015563965,1130360498.0237155,271334000,3372969600
2009,5.239878802545487,2.7928569316864014,7.64107084274292,568467011.1111112,286454000,1831634000
2010,9.282144288221994,6.794642925262451,11.666428565979004,599305266.6666666,157494400,1867110000
2011,13.001174167981224,11.089285850524902,15.239286422729492,492298966.6666667,179662000,1880998000
2012,20.58397215461731,14.60714340209961,25.18107032775879,527856817.6,175753200,1506120000
2013,16.888625284982105,13.753570556640625,20.540714263916016,406434800.0,167554800,1460852400
2014,23.0605605670384,17.626785278320312,29.9375,252610922.2222222,57918400,1065523200
2015,30.02696921711876,23.0,33.6349983215332,207397617.46031746,52185600,648825200
2016,26.138973202024186,22.36750030517578,29.672500610351562,153690123.80952382,45903600,533478800
2017,37.62449699189084,28.690000534057617,44.29999923706055,108538270.91633466,56106800,447940000
2018,47.270607670939775,36.647499084472656,58.36750030517578,136080258.16733068,50055600,384986800
2019,52.01562986676655,35.5,73.49250030517578,112122788.8888889,45448000,365248800
2020,95.30737151647274,53.15250015258789,138.7899932861328,157564646.64031622,46691300,426510000
2021,140.9256153712197,116.20999908447266,182.1300048828125,90517011.90476191,41000000,195432700
2022,169.90315768593237,154.6999969482422,182.94000244140625,1987041000.0,74805200,179485800
